page_id,page_title,view_count,protection_status,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,page_id_scrapped,redirects,recent_number_of_edits,number_distinct_authors,number_categories
649497,Ten High,66388,unprotected,2942,129,25,50.79,477,649497,0,0,0,2
8035336,Wig wag (truck braking systems),45452,unprotected,64,28,25,50.79,233,8035336,0,0,0,2
8998584,Cack,12911,sysop,359,11,25,50.79,118,8998584,0,0,0,2
19518467,Huntoon Mountains,3521,unprotected,1255,12,25,50.79,9,19518467,0,0,0,2
22358273,Mesohibolites,2748,unprotected,1214,7,25,50.79,3,22358273,0,0,0,2
32289827,The Gravy Train,56091,unprotected,3424,40,25,50.79,631,32289827,0,0,0,2
38309501,List of theatres in Serbia,8509,unprotected,5604,24,25,50.79,28,38309501,0,0,0,2
39323133,2013_stanley_cup_finals,2048,sysop,69,2,25,50.79,1,39323133,0,0,0,2
39323148,2013_Stanley_Cup_finals,1433,sysop,69,2,25,50.79,8,39323148,0,0,0,2
41511721,Mudar Zahran,62728,extendedconfirmed,9475,403,47,14,288,41511721,0,0,0,2
42486165,2014_Stanley_Cup_finals,851,sysop,69,3,25,50.79,1,42486165,0,0,0,2
42486166,2014_stanley_cup_final,984,sysop,69,3,25,50.79,0,42486166,0,0,0,2
46633271,2015_stanley_cup_finals,2310,sysop,69,2,25,50.79,5,46633271,0,0,0,2
46633273,2015_Stanley_Cup_finals,1238,sysop,69,2,25,50.79,0,46633273,0,0,0,2
50537912,2016_Stanley_Cup_finals,1015,sysop,69,2,25,50.79,0,50537912,0,0,0,2
50537913,2016_stanley_cup_final,1212,sysop,69,2,25,50.79,1,50537913,0,0,0,2
50537916,2016_stanley_cup_finals,2007,sysop,69,2,25,50.79,2,50537916,0,0,0,2
60583939,2019_stanley_cup_final,935,sysop,69,2,25,50.79,19,60583939,0,0,0,2
14874715,NFIA,34819,unprotected,6869,37,25,50.79,145,14874715,1,0,0,2
15451465,Jonathan Bliss,7986,unprotected,2341,23,25,50.79,29,15451465,1,0,0,2
16514490,Stephen Hoar,4943,unprotected,7209,76,25,50.79,2,16514490,1,0,0,2
28971991,Forest Fire Lookout Association,7553,unprotected,2094,20,25,50.79,50,28971991,1,0,0,2
5172501,Tactile corpuscles of Grandry,5321,unprotected,13040,28,25,50.79,21,5172501,2,0,0,2
17144344,German occupation of Estonia during World War I,45499,unprotected,8494,111,25,50.79,321,17144344,2,0,0,2
60231218,2019_Tel_Aviv_rocket_strike,37221,extendedconfirmed,7498,49,25,50.79,46,60231218,3,0,0,2
17797986,1952_raid_on_Beit_Jala,5428,extendedconfirmed,7470,368,37,2,43,17797986,9,0,0,2
48598769,2015_Gush_Etzion_Junction_attack,12825,extendedconfirmed,9904,68,32,2,41,48598769,1,2,2,2
5508002,New World crops,442438,unprotected,12924,346,46,4,9463,5508002,5,6,3,2
26574,Rooster,2977562,sysop,56,3925,201,11,28323,26574,0,0,0,3
16623945,SS Potsdam,5496,unprotected,670,12,25,50.79,43,16623945,0,0,0,3
20042982,Gil Marquez,4763,unprotected,616,20,25,50.79,19,20042982,0,0,0,3
22187225,Parallelura,2717,unprotected,58,9,25,50.79,2,22187225,0,0,0,3
23335011,The Mumbai Xpress,4988,unprotected,226,39,25,50.79,14,23335011,0,0,0,3
27166824,Echoes of Valor,8924,unprotected,1696,16,25,50.79,43,27166824,0,0,0,3
