page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
340663,Paul Reiser,,,,22427,76,9,4,80115,864,1,1,20
667049,Meg Tilly,,,,24897,81,12,0,55019,962,8,4,26
2736939,Random number generation,,,,33119,244,20,14,46350,946,7,6,15
39068821,Paige Howard,,,,4265,34,8,0,26392,60,0,0,6
41414319,Sophia Amoruso,,,,18081,Fewer than 30 watchers,,0,10757,193,0,0,15
863116,Extreme points of Earth,,,,48,332,32,0,6331,1608,0,0,2
2023424,Gewehr 98,,,,60700,96,14,23,24945,1373,3,3,14
45646371,Inuyashiki,,,,30360,36,10,3,40655,364,1,1,6
3603676,Tire code,,,,34557,94,9,15,10048,548,0,0,8
1180662,Pocono Mountains,,,,62439,87,6,6,14800,1131,0,0,10
4253041,MIL-STD-810,,,,23099,81,7,4,13295,480,3,2,4
3125556,Mikael Persbrandt,,,,13130,Fewer than 30 watchers,,0,19042,396,0,0,24
77861,Tatooine,,,,28763,110,13,15,9806,1149,2,2,9
540932,Pontiac Bonneville,,,,69068,70,12,1,14564,1030,1,1,10
1381306,Sweat gland,,,,43915,119,10,14,9331,573,3,3,15
37720592,Kernel (image processing),,,,13510,70,3,0,14109,137,4,2,
3057722,Parademon,,,,11434,33,10,3,4351,375,3,1,5
2079455,Royal blue,,,,8568,51,5,4,9407,493,1,1,5
55283097,Elliptic curve cryptography,,,,58,161,27,0,3477,1,0,0,
46311249,Make It Pop,,,,21950,Fewer than 30 watchers,,2,2153,1146,0,0,3
2196839,Tony Allen (musician),,,,21423,38,5,1,7561,413,4,3,28
432943,Baths of Caracalla,,,,33142,88,10,5,6255,532,2,2,15
6132954,Gashadokuro,,,,5876,59,13,0,16020,220,1,1,11
516027,Kirby's Dream Land,,,,26569,61,9,7,6861,841,6,4,12
36190335,House of Xtravaganza,,,,41862,Fewer than 30 watchers,,0,7651,301,1,1,5
2984941,Pillar (car),,,,9241,56,6,14,5575,193,0,0,
18483349,Diligence,,,,7189,87,7,11,6521,328,1,1,3
6371,Centaurus,,,,23426,116,12,6,7001,596,0,0,7
1964809,List of lakes of Canada,,,,40949,37,6,9,5544,560,0,0,5
155625,Penetrance,,,,8209,48,6,6,3082,189,0,0,3
63245641,G.I. Joe: A Real American Hero (1985 TV series),,,,108,111,7,0,5807,1,0,0,
5329631,Aaron Dismuke,,,,33117,44,3,3,8494,910,5,3,9
638295,Snufkin,,,,6334,Fewer than 30 watchers,,1,6424,271,0,0,4
2486084,Syllabic consonant,,,,16247,57,10,10,5461,298,0,0,25
685106,Betty Dodson,,,,10947,53,5,10,4501,303,0,0,16
2128025,Croft (land),,,,5309,44,5,15,5033,189,2,2,10
2255820,Transthoracic echocardiogram,,,,24378,Fewer than 30 watchers,,0,3617,156,1,1,2
2514063,Phil Vickery (chef),,,,5048,Fewer than 30 watchers,,0,19338,193,0,0,5
4701050,University (The Sopranos),,,,9894,Fewer than 30 watchers,,1,9958,263,0,0,7
50588221,Shane Haste,,,,93,Fewer than 30 watchers,,0,211,6,0,0,
481608,Sikorsky CH-37 Mojave,,,,11295,43,10,11,6567,206,0,0,6
48517301,Now (The Walking Dead),,,,8357,Fewer than 30 watchers,,1,2307,85,0,0,6
1929224,Culture of Afghanistan,,,,30676,145,2,7,7983,1694,10,5,5
3235466,Wadie Haddad,,,,7292,66,5,7,4060,336,0,0,14
43406039,Jaipur Pink Panthers,,,,19497,Fewer than 30 watchers,,1,2038,349,2,1,5
1251808,Master Order,,,,141,Fewer than 30 watchers,,0,1160,87,0,0,
4455796,Lateral inhibition,,,,18681,38,3,1,1421,142,0,0,
13582676,Bottle service,,,,3621,Fewer than 30 watchers,,3,2391,174,0,0,5
2680144,Leopardus,,,,19246,39,5,1,3562,328,8,4,4
14418222,Benita Hume,,,,5826,Fewer than 30 watchers,,0,2835,190,0,0,15
