view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
1015,69.0,2.0,25.0,50.0,1,0,0,0,2
1238,69.0,2.0,25.0,50.0,1,0,0,0,2
2007,69.0,2.0,25.0,50.0,2,0,0,0,2
2048,69.0,2.0,25.0,50.0,2,0,0,0,2
851,69.0,3.0,25.0,50.0,2,0,0,0,2
4943,7209.0,76.0,25.0,50.0,2,1,0,0,2
1212,69.0,2.0,25.0,50.0,3,0,0,0,2
984,69.0,3.0,25.0,50.0,6,0,0,0,2
2748,1214.0,7.0,25.0,50.0,8,0,0,0,2
3521,1255.0,12.0,25.0,50.0,9,0,0,0,2
1433,69.0,2.0,25.0,50.0,10,0,0,0,2
2310,69.0,2.0,25.0,50.0,13,0,0,0,2
8509,5604.0,24.0,25.0,50.0,24,0,0,0,2
935,69.0,2.0,25.0,50.0,27,0,0,0,2
7986,2341.0,23.0,25.0,50.0,30,1,0,0,2
5321,13040.0,28.0,25.0,50.0,31,2,0,0,2
5428,7470.0,368.0,37.0,2.0,36,9,0,0,2
37221,7498.0,49.0,25.0,50.0,42,3,0,0,2
7553,2094.0,20.0,25.0,50.0,57,1,0,0,2
12911,359.0,11.0,25.0,50.0,118,0,0,0,2
45452,64.0,28.0,25.0,50.0,204,0,0,0,2
62728,9475.0,403.0,47.0,14.0,325,0,0,0,2
45499,8494.0,111.0,25.0,50.0,344,2,0,0,2
66388,2942.0,129.0,25.0,50.0,488,0,0,0,2
56091,3424.0,40.0,25.0,50.0,652,0,0,0,2
34819,6869.0,37.0,25.0,50.0,134,1,1,1,2
12825,9904.0,68.0,32.0,2.0,43,1,2,2,2
442438,12901.0,343.0,46.0,4.0,9433,5,3,2,2
2717,58.0,9.0,25.0,50.0,2,0,0,0,3
17526,105.0,1.0,25.0,50.0,5,0,0,0,3
3180,529.0,20.0,25.0,50.0,5,1,0,0,3
5764,1740.0,9.0,25.0,50.0,8,0,0,0,3
3893,1605.0,21.0,25.0,50.0,11,0,0,0,3
4988,226.0,39.0,25.0,50.0,15,0,0,0,3
4395,1711.0,15.0,25.0,50.0,17,0,0,0,3
4763,616.0,20.0,25.0,50.0,18,0,0,0,3
3211,762.0,12.0,25.0,50.0,22,5,0,0,3
5496,670.0,12.0,25.0,50.0,37,0,0,0,3
29791,407.0,6.0,25.0,50.0,46,0,0,0,3
28754,952.0,7.0,25.0,50.0,46,1,0,0,3
8924,1696.0,16.0,25.0,50.0,50,0,0,0,3
6014,2580.0,16.0,25.0,50.0,50,0,0,0,3
9604,5164.0,26.0,25.0,50.0,57,4,0,0,3
18973,13931.0,62.0,25.0,50.0,61,1,0,0,3
10481,5447.0,39.0,25.0,50.0,64,1,0,0,3
17352,874.0,34.0,25.0,50.0,65,6,0,0,3
15807,3759.0,44.0,25.0,50.0,84,1,0,0,3
232767,107.0,1.0,45.0,26.0,92,0,0,0,3
18846,3588.0,52.0,25.0,50.0,101,1,0,0,3
95209,91.0,2.0,25.0,50.0,104,0,0,0,3
19135,11078.0,143.0,25.0,50.0,115,2,0,0,3
21441,17411.0,180.0,25.0,50.0,131,4,0,0,3
42725,21415.0,148.0,34.0,7.0,206,3,0,0,3
160037,373.0,709.0,69.0,8.0,467,12,0,0,3
41519,3365.0,165.0,25.0,50.0,482,1,0,0,3
46549,5314.0,84.0,25.0,50.0,483,3,0,0,3
532302,65.0,2.0,210.0,41.0,1870,0,0,0,3
1557978,98.0,1.0,152.0,15.0,3089,0,0,0,3
5746759,95.0,1.0,1166.0,44.0,5513,0,0,0,3
590917,5300.0,352.0,42.0,5.0,5684,6,0,0,3
2967525,91.0,1.0,376.0,7.0,6502,0,0,0,3
2977562,56.0,3925.0,201.0,11.0,27499,0,0,0,3
7279,165.0,29.0,25.0,50.0,6,0,1,1,3
10455,4159.0,15.0,25.0,50.0,27,5,1,1,3
7707,4350.0,10.0,25.0,50.0,61,0,1,1,3
14327,13724.0,71.0,25.0,50.0,109,1,1,1,3
18965,5267.0,24.0,25.0,50.0,119,1,1,1,3
16679,4932.0,39.0,25.0,50.0,202,1,1,1,3
76753,4903.0,64.0,25.0,50.0,1175,2,1,1,3
89092,74.0,1.0,30.0,2.0,2395,0,1,1,3
306947,11924.0,318.0,151.0,10.0,3127,2,1,1,3
11676,5787.0,21.0,25.0,50.0,52,0,2,1,3
669910,37328.0,1811.0,36.0,7.0,11114,1,2,2,3
2294646,13582.0,893.0,82.0,9.0,12413,9,2,2,3
3237,147.0,6.0,25.0,50.0,2,0,0,0,4
3488,1491.0,22.0,25.0,50.0,2,0,0,0,4
4067,2393.0,10.0,25.0,50.0,3,0,0,0,4
2154,825.0,7.0,25.0,50.0,5,0,0,0,4
3159,803.0,12.0,25.0,50.0,5,1,0,0,4
7082,2936.0,19.0,25.0,50.0,12,3,0,0,4
4800,811.0,9.0,25.0,50.0,13,1,0,0,4
5790,2641.0,9.0,25.0,50.0,18,0,0,0,4
6917,3156.0,22.0,25.0,50.0,20,0,0,0,4
6278,2109.0,19.0,25.0,50.0,21,0,0,0,4
7947,3594.0,44.0,25.0,50.0,22,1,0,0,4
7808,4549.0,43.0,25.0,50.0,23,0,0,0,4
10660,2251.0,47.0,25.0,50.0,25,1,0,0,4
