view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories,label
1015,69,2,25,50,1,0,0,0,2,3
1238,69,2,25,50,1,0,0,0,2,3
2007,69,2,25,50,2,0,0,0,2,3
2048,69,2,25,50,2,0,0,0,2,3
851,69,3,25,50,2,0,0,0,2,3
4943,7209,76,25,50,2,1,0,0,2,0
1212,69,2,25,50,3,0,0,0,2,3
984,69,3,25,50,6,0,0,0,2,3
2748,1214,7,25,50,8,0,0,0,2,0
3521,1255,12,25,50,9,0,0,0,2,0
1433,69,2,25,50,10,0,0,0,2,3
2310,69,2,25,50,13,0,0,0,2,3
8509,5604,24,25,50,24,0,0,0,2,0
935,69,2,25,50,27,0,0,0,2,3
7986,2341,23,25,50,30,1,0,0,2,0
5321,13040,28,25,50,31,2,0,0,2,0
5428,7470,368,37,2,36,9,0,0,2,2
37221,7498,49,25,50,42,3,0,0,2,2
7553,2094,20,25,50,57,1,0,0,2,0
12911,359,11,25,50,118,0,0,0,2,3
45452,64,28,25,50,204,0,0,0,2,0
62728,9475,403,47,14,325,0,0,0,2,2
45499,8494,111,25,50,344,2,0,0,2,0
66388,2942,129,25,50,488,0,0,0,2,0
56091,3424,40,25,50,652,0,0,0,2,0
34819,6869,37,25,50,134,1,1,1,2,0
12825,9904,68,32,2,43,1,2,2,2,2
442438,12901,343,46,4,9433,5,3,2,2,0
2717,58,9,25,50,2,0,0,0,3,0
17526,105,1,25,50,5,0,0,0,3,2
3180,529,20,25,50,5,1,0,0,3,0
5764,1740,9,25,50,8,0,0,0,3,0
3893,1605,21,25,50,11,0,0,0,3,0
4988,226,39,25,50,15,0,0,0,3,0
4395,1711,15,25,50,17,0,0,0,3,0
4763,616,20,25,50,18,0,0,0,3,0
3211,762,12,25,50,22,5,0,0,3,0
5496,670,12,25,50,37,0,0,0,3,0
29791,407,6,25,50,46,0,0,0,3,2
28754,952,7,25,50,46,1,0,0,3,0
8924,1696,16,25,50,50,0,0,0,3,0
6014,2580,16,25,50,50,0,0,0,3,0
9604,5164,26,25,50,57,4,0,0,3,0
18973,13931,62,25,50,61,1,0,0,3,0
10481,5447,39,25,50,64,1,0,0,3,0
17352,874,34,25,50,65,6,0,0,3,0
15807,3759,44,25,50,84,1,0,0,3,0
232767,107,1,45,26,92,0,0,0,3,2
18846,3588,52,25,50,101,1,0,0,3,0
95209,91,2,25,50,104,0,0,0,3,2
19135,11078,143,25,50,115,2,0,0,3,0
21441,17411,180,25,50,131,4,0,0,3,2
42725,21415,148,34,7,206,3,0,0,3,2
160037,373,709,69,8,467,12,0,0,3,1
41519,3365,165,25,50,482,1,0,0,3,1
46549,5314,84,25,50,483,3,0,0,3,0
532302,65,2,210,41,1870,0,0,0,3,1
1557978,98,1,152,15,3089,0,0,0,3,2
5746759,95,1,1166,44,5513,0,0,0,3,2
590917,5300,352,42,5,5684,6,0,0,3,1
2967525,91,1,376,7,6502,0,0,0,3,1
2977562,56,3925,201,11,27499,0,0,0,3,3
7279,165,29,25,50,6,0,1,1,3,0
10455,4159,15,25,50,27,5,1,1,3,0
7707,4350,10,25,50,61,0,1,1,3,0
14327,13724,71,25,50,109,1,1,1,3,0
18965,5267,24,25,50,119,1,1,1,3,0
16679,4932,39,25,50,202,1,1,1,3,0
76753,4903,64,25,50,1175,2,1,1,3,0
89092,74,1,30,2,2395,0,1,1,3,1
306947,11924,318,151,10,3127,2,1,1,3,2
11676,5787,21,25,50,52,0,2,1,3,0
669910,37328,1811,36,7,11114,1,2,2,3,1
2294646,13582,893,82,9,12413,9,2,2,3,3
3237,147,6,25,50,2,0,0,0,4,0
3488,1491,22,25,50,2,0,0,0,4,0
4067,2393,10,25,50,3,0,0,0,4,0
2154,825,7,25,50,5,0,0,0,4,0
3159,803,12,25,50,5,1,0,0,4,0
7082,2936,19,25,50,12,3,0,0,4,0
4800,811,9,25,50,13,1,0,0,4,0
5790,2641,9,25,50,18,0,0,0,4,0
6917,3156,22,25,50,20,0,0,0,4,0
6278,2109,19,25,50,21,0,0,0,4,0
7947,3594,44,25,50,22,1,0,0,4,0
7808,4549,43,25,50,23,0,0,0,4,1
10660,2251,47,25,50,25,1,0,0,4,0
13004,11369,94,25,50,49,1,0,0,4,0
11741,6338,52,25,50,64,4,0,0,4,0
17541,6129,72,25,50,119,2,0,0,4,0
20351,7845,105,25,50,133,1,0,0,4,0
39615,7300,622,36,3,153,2,0,0,4,1
20675,2656,32,25,50,162,2,0,0,4,0
34639,23653,266,25,50,174,2,0,0,4,2
43858,3256,149,25,50,221,0,0,0,4,1
31620,6127,25,25,50,284,2,0,0,4,0
965522,93,3,104,13,306,0,0,0,4,1
28043,4552,38,25,50,361,1,0,0,4,0
889195,96,4,64,15,382,0,0,0,4,3
40998,64158,682,25,50,403,2,0,0,4,1
54603,6465,230,25,50,447,4,0,0,4,1
67905,2667,76,25,50,577,0,0,0,4,0
114667,17273,198,25,50,1386,0,0,0,4,0
125593,41881,375,25,50,1963,0,0,0,4,2
431001,59408,1628,25,50,2075,4,0,0,4,3
341834,5892,653,37,50,2779,3,0,0,4,2
129762,10994,1208,25,50,3259,0,0,0,4,2
345254,27004,453,25,50,3824,1,0,0,4,0
948886,32372,466,82,7,4210,2,0,0,4,1
1959765,7372,2409,202,30,8132,2,0,0,4,1
1452032,36254,9155,80,12,14929,4,0,0,4,1
24732062,126,3,1315,101,21222,0,0,0,4,3
7116,2338,24,25,50,32,1,1,1,4,0
28537,8145,43,25,50,128,0,1,1,4,0
16963,3275,61,25,50,217,0,1,1,4,0
69661,5074,83,25,50,885,0,1,1,4,0
891490,37471,406,45,8,2504,2,1,1,4,3
1593669,44683,2315,72,4,11404,5,1,1,4,1
1303885,104636,2623,144,26,28893,22,1,1,4,3
5869,2989,25,25,50,14,1,2,1,4,0
17571,18910,328,25,50,49,3,2,1,4,2
789589,8575,2317,90,7,3463,12,2,1,4,1
69231,14712,288,25,50,941,2,2,2,4,1
605493,42606,4628,49,2,6862,114,7,2,4,1
2813,1532,12,25,50,4,0,0,0,5,0
3042,1853,18,25,50,4,2,0,0,5,0
3472,1019,11,25,50,5,0,0,0,5,0
5105,3406,19,25,50,8,0,0,0,5,0
4074,1878,6,25,50,9,1,0,0,5,0
3660,1517,9,25,50,9,1,0,0,5,0
5767,3551,27,25,50,13,2,0,0,5,0
3580,1642,10,25,50,15,2,0,0,5,0
4510,1023,13,25,50,17,0,0,0,5,0
7522,3739,28,25,50,20,0,0,0,5,0
7405,1828,5,25,50,26,4,0,0,5,0
8951,2774,8,25,50,26,0,0,0,5,0
8833,3666,14,25,50,33,0,0,0,5,0
18818,2850,50,25,50,93,1,0,0,5,0
13435,8013,35,25,50,96,1,0,0,5,0
15409,13195,116,25,50,142,1,0,0,5,0
41153,11730,74,25,50,150,1,0,0,5,0
38148,2442,55,25,50,242,1,0,0,5,2
30233,10095,65,25,50,274,0,0,0,5,0
59319,933,39,25,50,451,0,0,0,5,1
75466,5267,106,39,6,553,0,0,0,5,2
195738,66649,481,42,5,1016,2,0,0,5,3
131797,109895,826,68,14,1066,7,0,0,5,2
99699,16935,321,25,50,1401,2,0,0,5,1
54442,4975,237,25,50,1498,0,0,0,5,1
228056,16224,1120,126,13,1638,2,0,0,5,1
1760361,75,1,43,5,2091,0,0,0,5,2
398167,8020,280,25,50,3222,2,0,0,5,2
1279103,53828,1334,185,9,3607,9,0,0,5,1
1670423,27443,1261,1170,12,15381,18,0,0,5,2
27703236,72,1,1255,93,48673,0,0,0,5,1
14549,9508,167,25,50,77,3,1,1,5,3
30320,4049,219,25,50,196,1,1,1,5,1
29651,60744,657,25,50,391,1,1,1,5,3
522147,4404,448,64,4,1728,9,1,1,5,1
283120,5793,128,25,50,4042,0,1,1,5,0
2287418,31580,870,42,3,13199,2,1,1,5,1
101407,20489,412,25,50,1064,0,3,1,5,0
203961,28732,1160,25,50,1628,2,4,1,5,1
34507,15029,128,25,50,153,4,2,2,5,2
156610,119858,1156,54,9,1999,10,4,2,5,3
60304,69827,436,25,50,1859,1,3,3,5,2
1035791,28688,2590,127,15,15756,5,4,3,5,2
1602602,44124,953,174,24,14318,15,10,3,5,2
